brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Intergate Immigration,445,252,67,53,24,25,8,6,5,4,1,0,0,0,0,0
Immigration South Africa,377,15,136,63,68,43,22,14,9,4,3,0,0,0,0,0
Tax Consulting South Africa,331,234,31,15,11,17,4,2,6,6,5,0,0,0,0,0
Black Pen Immigration,299,75,90,52,38,17,4,8,4,9,2,0,0,0,0,0
XpatWeb,292,37,42,80,38,37,20,9,16,8,5,0,0,0,0,0
IBN Immigration Solutions,284,10,63,86,58,40,13,5,4,2,3,0,0,0,0,0
PWC South Africa,262,59,22,38,42,30,25,20,9,9,8,0,0,0,0,0
Sable International,246,15,60,65,42,34,9,6,8,5,2,0,0,0,0,0
KPMG South Africa,244,8,21,25,51,43,23,20,21,20,10,2,0,0,0,0
Deloitte South Africa,242,6,52,33,40,33,26,16,17,8,10,0,1,0,0,0
BDO South Africa,237,6,5,22,33,68,33,36,17,6,10,0,1,0,0,0
Mazars South Africa,215,7,38,25,24,17,33,28,20,14,9,0,0,0,0,0
New World Immigration,189,8,20,44,53,32,7,6,3,7,9,0,0,0,0,0
Grant Thornton South Africa,146,0,1,8,9,19,23,34,24,17,11,0,0,0,0,0
VFS Global,127,67,18,9,4,8,2,3,3,10,3,0,0,0,0,0
Global Migration SA,121,5,16,23,25,26,11,7,2,5,1,0,0,0,0,0
Le Roux Attorneys,111,0,3,9,13,20,19,19,14,7,7,0,0,0,0,0
EY South Africa,108,0,0,33,28,8,8,6,9,6,8,0,1,1,0,0
TaxTim,106,25,29,18,8,4,3,5,2,7,5,0,0,0,0,0
SA Migration International,92,2,13,18,20,12,7,7,5,3,5,0,0,0,0,0
Move Up,79,10,7,13,13,6,1,6,10,4,9,0,0,0,0,0
ENSafrica,78,20,8,2,4,6,7,11,7,9,4,0,0,0,0,0
[Intergate,77,50,23,3,0,1,0,0,0,0,0,0,0,0,0,0
[Tax Consulting South,75,42,6,9,5,9,4,0,0,0,0,0,0,0,0,0
Tax Consulting SA,71,49,6,3,2,4,2,5,0,0,0,0,0,0,0,0
Immigration Solutions,69,0,3,3,3,6,6,7,10,11,20,0,0,0,0,0
Eisenberg & Associates,68,5,2,1,4,4,15,13,12,7,5,0,0,0,0,0
SNG Grant Thornton (,63,0,5,3,1,2,4,4,21,12,11,0,0,0,0,0
Intergate Visalink,60,28,21,8,2,1,0,0,0,0,0,0,0,0,0,0
[New World,59,0,2,46,9,2,0,0,0,0,0,0,0,0,0,0
[Tax & Legal,55,0,5,9,8,7,5,5,5,6,5,0,0,0,0,0
Global Migration,54,0,0,0,2,2,8,13,6,10,13,0,0,0,0,0
Tax Shop,53,0,8,19,9,3,2,4,5,2,1,0,0,0,0,0
VisaPro,52,19,7,4,5,1,1,9,2,3,1,0,0,0,0,0
[Tax Consulting,49,0,18,9,8,7,2,1,1,1,2,0,0,0,0,0
PKF South Africa,47,0,1,4,10,7,5,3,8,5,4,0,0,0,0,0
Visa Box,46,13,7,13,6,6,1,0,0,0,0,0,0,0,0,0
Relocation Africa:,45,0,0,5,4,10,5,12,2,5,2,0,0,0,0,0
Intergate Immigration Service,42,3,6,6,6,9,6,4,1,1,0,0,0,0,0,0
[Visa,41,4,2,3,7,22,1,0,1,1,0,0,0,0,0,0
Webber Wentzel,40,1,12,5,2,5,3,3,5,2,2,0,0,0,0,0
Fragomen,38,13,10,5,0,7,1,1,0,0,1,0,0,0,0,0
Visa Solutions,38,1,6,4,5,7,5,3,2,3,2,0,0,0,0,0
Intergate Immigration Services,37,4,12,6,4,6,2,0,2,1,0,0,0,0,0,0
SA Migration Services,37,0,8,6,9,8,5,1,0,0,0,0,0,0,0,0
Visa and Immigration Services,36,18,7,5,0,1,0,1,1,2,1,0,0,0,0,0
Mazars,35,4,9,9,4,6,1,1,0,1,0,0,0,0,0,0
Visa Logistics,34,20,5,2,4,2,0,0,0,1,0,0,0,0,0,0
[Immigration South,34,0,0,4,18,9,2,1,0,0,0,0,0,0,0,0
Expatriate Law,32,0,0,0,2,6,6,4,1,6,7,0,0,0,0,0
[VisaHQ South,32,2,0,0,5,24,0,0,0,1,0,0,0,0,0,0
Tax Debt Solutions,31,6,10,8,2,3,0,0,0,1,1,0,0,0,0,0
Visa Solutions South Africa,31,0,6,11,4,7,1,0,0,0,2,0,0,0,0,0
RSM South Africa,29,0,0,2,0,1,0,2,6,11,7,0,0,0,0,0
Bowmans,28,1,5,8,1,2,3,3,1,2,2,0,0,0,0,0
Breytenbachs Immigration Consultants:,28,9,3,7,5,3,0,0,1,0,0,0,0,0,0,0
Nova Immigration,28,0,0,3,17,7,1,0,0,0,0,0,0,0,0,0
Migrate to South Africa,27,0,0,0,2,4,4,2,7,4,4,0,0,0,0,0
Old Mutual,27,7,10,4,2,0,1,3,0,0,0,0,0,0,0,0
**Nexia SAB&T** â€“,26,0,1,0,0,0,2,7,1,8,7,0,0,0,0,0
SA Migration,26,0,3,1,2,6,3,2,5,1,3,0,0,0,0,0
Cliffe Dekker Hofmeyr,24,0,1,6,10,2,1,0,2,1,1,0,0,0,0,0
Ernst & Young South Africa,24,0,0,1,7,2,5,4,1,2,2,0,0,0,0,0
Sanlam,24,7,7,4,2,1,1,0,0,1,1,0,0,0,0,0
South African Immigration Services,24,0,3,6,5,3,5,1,1,0,0,0,0,0,0,0
Work Visa South Africa,24,3,3,2,2,2,2,3,3,3,1,0,0,0,0,0
[Immigration,24,0,1,1,7,6,7,1,1,0,0,0,0,0,0,0
Allan Gray,23,4,2,0,4,7,3,0,0,2,1,0,0,0,0,0
Global Visas,23,0,1,1,6,8,3,2,1,1,0,0,0,0,0,0
Liberty,23,0,2,6,6,4,2,1,2,0,0,0,0,0,0,0
The Tax Shop,23,1,1,6,10,3,1,0,1,0,0,0,0,0,0,0
[Immigration Lawyers South,23,2,1,0,10,3,1,3,3,0,0,0,0,0,0,0
Expatriate Tax Services,22,1,14,1,0,3,2,1,0,0,0,0,0,0,0,0
Momentum,22,0,0,1,7,7,4,0,0,2,1,0,0,0,0,0
Tax Debt Relief,22,2,0,10,6,2,0,1,0,0,1,0,0,0,0,0
Visa South Africa,22,8,0,2,3,2,1,2,2,1,1,0,0,0,0,0
[Sable,22,1,2,2,12,4,0,0,1,0,0,0,0,0,0,0
[Tax &,22,0,4,5,8,1,4,0,0,0,0,0,0,0,0,0
Work Permit South Africa,21,0,0,3,2,0,3,3,3,6,1,0,0,0,0,0
**South African Immigration**,20,0,5,6,4,3,1,0,0,0,1,0,0,0,0,0
Pathways Immigration,20,1,0,1,4,7,1,3,1,2,0,0,0,0,0,0
Visa One International,20,0,3,5,5,4,1,1,0,1,0,0,0,0,0,0
Global Migration Solutions,19,0,2,0,4,5,3,4,0,1,0,0,0,0,0,0
Hobbs Sinclair,19,0,0,1,3,3,2,3,3,1,3,0,0,0,0,0
Investec,19,1,3,0,0,4,2,5,2,1,1,0,0,0,0,0
[SARS (South African Revenue Service)](,19,8,5,2,0,1,3,0,0,0,0,0,0,0,0,0
Nedbank,17,0,0,4,10,0,1,0,0,1,1,0,0,0,0,0
Pathways,17,0,0,0,0,2,2,3,2,2,6,0,0,0,0,0
South African Visa,17,0,1,1,1,1,4,2,2,1,4,0,0,0,0,0
Tax Debt Assist,17,1,6,6,1,2,0,1,0,0,0,0,0,0,0,0
Move Up Immigration,16,0,4,3,2,5,1,0,0,1,0,0,0,0,0,0
Pathway Visas,16,0,0,0,0,5,1,1,1,4,4,0,0,0,0,0
Standard Bank,16,8,4,2,1,0,0,0,1,0,0,0,0,0,0,0
FinGlobal,15,2,7,4,0,1,0,0,0,0,1,0,0,0,0,0
Tax Debt Management:,15,4,2,2,4,1,1,1,0,0,0,0,0,0,0,0
Werksmans Attorneys,15,1,0,3,2,6,2,0,0,0,1,0,0,0,0,0
Absa,14,0,4,5,2,0,3,0,0,0,0,0,0,0,0,0
Immigration South Africa (ISA):,14,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0
PricewaterhouseCoopers (PwC) South Africa,14,4,3,1,1,2,1,0,0,2,0,0,0,0,0,0
[Deloitte South,14,1,5,7,0,0,1,0,0,0,0,0,0,0,0,0
[EY South,14,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0
[PwC South,14,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0
[VFS,14,10,1,0,0,1,0,0,2,0,0,0,0,0,0,0
Financial Emigration,13,0,1,3,1,0,0,1,4,2,1,0,0,0,0,0
Immigration SA,13,0,1,1,0,0,1,4,6,0,0,0,0,0,0,0
Tax Debt Compliance,13,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
Visa Direct,13,0,5,1,3,1,1,0,0,1,1,0,0,0,0,0
Cryptotax,12,1,1,0,2,6,0,1,0,0,1,0,0,0,0,0
Newland Chase:,12,0,3,5,1,1,1,0,1,0,0,0,0,0,0,0
PSG Wealth,12,0,0,0,0,1,4,4,2,1,0,0,0,0,0,0
ProTax,12,0,0,2,5,2,0,3,0,0,0,0,0,0,0,0
STC Immigration:,12,0,0,2,2,7,0,1,0,0,0,0,0,0,0,0
TLScontact,12,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0
The Immigration Company,12,0,0,1,2,3,2,2,1,1,0,0,0,0,0,0
Visa Hub,12,0,1,3,2,2,2,1,0,0,1,0,0,0,0,0
[Newland,12,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0
AJM Tax,11,1,3,5,0,0,0,0,1,0,1,0,0,0,0,0
Crypto Tax Calculator,11,0,5,1,1,1,1,0,0,2,0,0,0,0,0,0
Immigration Consultants of South Africa,11,0,2,0,1,1,1,0,3,1,2,0,0,0,0,0
Tax Leaders,11,0,0,0,0,2,3,3,0,1,1,1,0,0,0,0
Tax Risk Management Services,11,0,4,4,0,0,2,1,0,0,0,0,0,0,0,0
[Cliffe Dekker,11,0,1,1,0,1,3,2,2,1,0,0,0,0,0,0
**TaxWise**,10,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0
AJS Group,10,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0
Cape Town Immigration,10,0,1,1,1,3,2,1,1,0,0,0,0,0,0,0
Global Visa Solutions,10,0,0,0,3,3,2,0,2,0,0,0,0,0,0,0
IBN Business & Immigration Solutions:,10,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0
Moore South Africa,10,0,1,1,0,1,0,0,0,2,5,0,0,0,0,0
Remata Tax and Accounting Services,10,0,4,1,0,0,1,1,2,0,1,0,0,0,0,0
SA Immigration,10,0,1,0,3,0,1,1,1,3,0,0,0,0,0,0
SA Tax Guide,10,0,1,1,4,1,0,0,1,1,1,0,0,0,0,0
Tax Debt South Africa,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
