LLM Provider,brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
claude,Intergate Immigration,129,76,19,11,8,4,4,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0
claude,IBN Immigration Solutions,108,2,33,41,12,5,6,3,2,2,2.0,0.0,0.0,0.0,0.0,0.0
claude,Immigration South Africa,104,3,29,9,24,16,11,7,4,0,1.0,0.0,0.0,0.0,0.0,0.0
claude,XpatWeb,89,7,3,21,16,14,9,4,9,4,2.0,0.0,0.0,0.0,0.0,0.0
claude,Tax Consulting South Africa,70,46,13,1,3,4,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
claude,Mazars South Africa,59,2,14,3,7,4,8,6,3,7,5.0,0.0,0.0,0.0,0.0,0.0
claude,Le Roux Attorneys,57,0,1,4,5,9,11,9,8,6,4.0,0.0,0.0,0.0,0.0,0.0
claude,Eisenberg & Associates,56,3,1,1,4,4,11,11,9,7,5.0,0.0,0.0,0.0,0.0,0.0
claude,Immigration Solutions,56,0,3,2,2,3,5,7,9,7,18.0,0.0,0.0,0.0,0.0,0.0
claude,PWC South Africa,46,9,0,7,8,5,4,5,2,3,3.0,0.0,0.0,0.0,0.0,0.0
claude,Global Migration,44,0,0,0,0,1,7,12,6,6,12.0,0.0,0.0,0.0,0.0,0.0
claude,KPMG South Africa,40,0,9,0,6,6,4,3,3,5,3.0,1.0,0.0,0.0,0.0,0.0
claude,Tax Shop,36,0,1,11,7,3,2,4,5,2,1.0,0.0,0.0,0.0,0.0,0.0
claude,Black Pen Immigration,33,0,0,0,5,3,3,7,4,9,2.0,0.0,0.0,0.0,0.0,0.0
claude,Deloitte South Africa,33,0,0,7,2,4,7,1,4,3,4.0,0.0,1.0,0.0,0.0,0.0
claude,Move Up,30,7,0,2,2,1,0,4,6,4,4.0,0.0,0.0,0.0,0.0,0.0
claude,BDO South Africa,28,0,0,0,0,3,4,4,8,2,6.0,0.0,1.0,0.0,0.0,0.0
claude,Grant Thornton South Africa,28,0,0,0,0,5,1,3,4,8,7.0,0.0,0.0,0.0,0.0,0.0
claude,Visa Solutions South Africa,27,0,6,10,3,6,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
claude,PKF South Africa,26,0,0,0,6,5,4,1,5,3,2.0,0.0,0.0,0.0,0.0,0.0
claude,Expatriate Law,25,0,0,0,2,3,6,4,0,4,6.0,0.0,0.0,0.0,0.0,0.0
claude,Visa Solutions,24,0,4,3,3,3,3,3,2,1,2.0,0.0,0.0,0.0,0.0,0.0
claude,SA Migration International,23,0,1,0,1,1,4,5,3,3,5.0,0.0,0.0,0.0,0.0,0.0
