Role,brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,EY South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,KPMG South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,PWC South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,RSM South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,KPMG South Africa (,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,PWC South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,XpatWeb Tax Services,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,Exceed Tax and Advisory Services,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Financial Emigration,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,IBN Immigration Solutions,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Intergate Immigration,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XpatWeb,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Expatriate Tax Solutions,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
