brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Intergate Immigration,370,215,55,43,20,19,7,4,4,3,0,0,0,0,0,0
Immigration South Africa,288,13,120,45,49,29,14,9,4,3,2,0,0,0,0,0
XpatWeb,245,30,28,70,33,30,20,7,15,8,4,0,0,0,0,0
KPMG South Africa,240,8,21,25,50,42,23,18,21,20,10,2,0,0,0,0
Black Pen Immigration,235,59,76,39,27,8,4,7,4,9,2,0,0,0,0,0
Tax Consulting South Africa,233,163,29,11,7,10,3,1,3,2,4,0,0,0,0,0
Deloitte South Africa,232,6,50,30,39,31,25,15,17,8,10,0,1,0,0,0
IBN Immigration Solutions,218,6,45,65,48,31,11,4,4,2,2,0,0,0,0,0
PWC South Africa,193,47,14,23,32,21,20,16,6,8,6,0,0,0,0,0
Sable International,192,12,47,53,33,27,7,6,4,2,1,0,0,0,0,0
BDO South Africa,172,6,5,19,22,51,19,25,14,4,6,0,1,0,0,0
Mazars South Africa,153,7,22,14,20,13,28,18,15,9,7,0,0,0,0,0
EY South Africa,102,0,0,32,25,8,7,6,8,6,8,0,1,1,0,0
VFS Global,91,44,14,8,1,8,0,3,2,8,3,0,0,0,0,0
Grant Thornton South Africa,85,0,1,8,6,13,12,14,13,10,8,0,0,0,0,0
TaxTim,78,20,18,11,7,4,3,5,2,5,3,0,0,0,0,0
Le Roux Attorneys,71,0,3,9,8,12,11,10,8,6,4,0,0,0,0,0
SA Migration International,64,2,8,13,12,7,5,6,3,3,5,0,0,0,0,0
Move Up,62,7,5,11,10,5,1,5,7,4,7,0,0,0,0,0
ENSafrica,61,20,4,2,3,6,4,9,4,6,3,0,0,0,0,0
Eisenberg & Associates,56,3,1,1,4,4,11,11,9,7,5,0,0,0,0,0
Immigration Solutions,56,0,3,2,2,3,5,7,9,7,18,0,0,0,0,0
Tax Consulting SA,56,36,5,3,2,4,2,4,0,0,0,0,0,0,0,0
Tax Shop,53,0,8,19,9,3,2,4,5,2,1,0,0,0,0,0
Global Migration,47,0,0,0,2,2,7,12,6,6,12,0,0,0,0,0
Visa Box,44,12,7,13,6,5,1,0,0,0,0,0,0,0,0,0
Global Migration SA,40,2,4,11,9,6,2,1,2,3,0,0,0,0,0,0
PKF South Africa,37,0,1,2,10,5,5,3,5,4,2,0,0,0,0,0
Mazars,31,4,8,9,3,4,1,1,0,1,0,0,0,0,0,0
Webber Wentzel,31,0,11,4,2,4,2,3,4,0,1,0,0,0,0,0
Tax Debt Solutions,29,6,10,7,2,2,0,0,0,1,1,0,0,0,0,0
VisaPro,29,13,2,4,1,0,1,5,1,1,1,0,0,0,0,0
Intergate Immigration Services,28,4,9,3,4,4,2,0,1,1,0,0,0,0,0,0
Nova Immigration,28,0,0,3,17,7,1,0,0,0,0,0,0,0,0,0
RSM South Africa,28,0,0,2,0,1,0,2,6,10,7,0,0,0,0,0
Visa Solutions,27,0,4,3,4,3,4,3,2,2,2,0,0,0,0,0
Visa Solutions South Africa,27,0,6,10,3,6,1,0,0,0,1,0,0,0,0,0
Expatriate Law,25,0,0,0,2,3,6,4,0,4,6,0,0,0,0,0
Fragomen,24,6,8,3,0,6,1,0,0,0,0,0,0,0,0,0
Relocation Africa,24,0,0,0,2,5,2,9,2,2,2,0,0,0,0,0
Visa Logistics,24,12,4,2,3,2,0,0,0,1,0,0,0,0,0,0
Intergate Visalink,22,5,9,6,2,0,0,0,0,0,0,0,0,0,0,0
Intergate Immigration Service,21,0,2,2,3,6,4,3,1,0,0,0,0,0,0,0
New World Immigration:,21,1,3,0,8,9,0,0,0,0,0,0,0,0,0,0
SA Migration Services,20,0,2,4,4,4,5,1,0,0,0,0,0,0,0,0
Hobbs Sinclair,19,0,0,1,3,3,2,3,3,1,3,0,0,0,0,0
SA Migration,19,0,1,1,1,5,3,2,4,1,1,0,0,0,0,0
Bowmans,18,0,5,7,0,1,2,0,0,2,1,0,0,0,0,0
Pathways Immigration,18,1,0,1,4,7,1,2,1,1,0,0,0,0,0,0
Cliffe Dekker Hofmeyr,17,0,1,5,7,0,1,0,2,1,0,0,0,0,0,0
SNG Grant Thornton,17,0,1,2,0,0,4,1,4,3,2,0,0,0,0,0
Tax Debt Relief,17,2,0,7,5,1,0,1,0,0,1,0,0,0,0,0
Visa and Immigration Services,17,9,2,4,0,0,0,0,1,1,0,0,0,0,0,0
Old Mutual,16,5,4,3,2,0,0,2,0,0,0,0,0,0,0,0
Pathways,16,0,0,0,0,2,2,2,2,2,6,0,0,0,0,0
Sanlam,16,3,4,3,2,1,1,0,0,1,1,0,0,0,0,0
Tax Debt Assist,16,1,6,6,1,1,0,1,0,0,0,0,0,0,0,0
Visa One International,16,0,1,4,5,4,0,1,0,1,0,0,0,0,0,0
Allan Gray,15,2,2,0,2,6,0,0,0,2,1,0,0,0,0,0
Pathway Visas,15,0,0,0,0,4,1,1,1,4,4,0,0,0,0,0
Global Migration Solutions,14,0,0,0,2,5,3,3,0,1,0,0,0,0,0,0
Liberty,14,0,2,4,4,0,2,1,1,0,0,0,0,0,0,0
Move Up Immigration,14,0,4,3,1,5,0,0,0,1,0,0,0,0,0,0
PricewaterhouseCoopers (PwC) South Africa,14,4,3,1,1,2,1,0,0,2,0,0,0,0,0,0
Work Permit South Africa,14,0,0,3,1,0,1,2,3,4,0,0,0,0,0,0
Financial Emigration,13,0,1,3,1,0,0,1,4,2,1,0,0,0,0,0
Momentum,13,0,0,1,3,4,3,0,0,1,1,0,0,0,0,0
Nedbank,13,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0
The Tax Shop,13,1,1,5,4,1,0,0,1,0,0,0,0,0,0,0
Visa Direct,13,0,5,1,3,1,1,0,0,1,1,0,0,0,0,0
Global Visas,12,0,0,0,4,5,2,1,0,0,0,0,0,0,0,0
Immigration South Africa (ISA):,12,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0
Nexia SAB&T,12,0,1,0,0,0,2,2,0,2,5,0,0,0,0,0
ProTax,12,0,0,2,5,2,0,3,0,0,0,0,0,0,0,0
Standard Bank,12,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0
TLScontact,12,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Visa Hub,12,0,1,3,2,2,2,1,0,0,1,0,0,0,0,0
Werksmans Attorneys,12,1,0,3,1,5,2,0,0,0,0,0,0,0,0,0
AJM Tax,11,1,3,5,0,0,0,0,1,0,1,0,0,0,0,0
STC Immigration:,11,0,0,1,2,7,0,1,0,0,0,0,0,0,0,0
South African Visa,11,0,1,0,1,0,2,1,2,1,3,0,0,0,0,0
Tax Debt Management,11,4,1,0,3,1,1,1,0,0,0,0,0,0,0,0
Tax Leaders,11,0,0,0,0,2,3,3,0,1,1,1,0,0,0,0
AJS Group,10,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0
Investec,10,1,1,0,0,3,2,1,1,0,1,0,0,0,0,0
Remata Tax and Accounting Services,10,0,4,1,0,0,1,1,2,0,1,0,0,0,0,0
Tax Partners,10,0,0,0,0,2,0,3,3,0,2,0,0,0,0,0
Visa South Africa,10,4,0,1,2,1,0,1,0,0,1,0,0,0,0,0
Breytenbachs Immigration Consultants:,9,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0
FinGlobal,9,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0
IBN Business & Immigration Solutions:,9,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0
Absa,8,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0
Immigration SA,8,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
Migrate to South Africa,8,0,0,0,0,2,0,0,3,2,1,0,0,0,0,0
Moore South Africa,8,0,1,0,0,1,0,0,0,2,4,0,0,0,0,0
PKF,8,0,0,0,2,4,1,0,1,0,0,0,0,0,0,0
PSG Wealth,8,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0
Tax Debt South Africa,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VFS Global South Africa,8,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Work Visa South Africa,8,1,2,0,0,0,1,0,1,3,0,0,0,0,0,0
Ernst & Young (EY) South Africa,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
Global Immigration Solutions,7,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0
Global Visa Support,7,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0
IBN Consulting:,7,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0
Integritax,7,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0
MDR Tax Solutions,7,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0
Migrate With Q:,7,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0
SA Visa,7,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0
SPS Immigration Specialists,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
VisaBox:,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VisaSouthAfrica,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA Tax Consultants,6,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
Alexander Forbes,6,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0
MDH Accounting,6,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
Norton Rose Fulbright:,6,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0
Rand Rescue,6,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0
SA Tax Guide,6,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0
SIA Legal & Associates:,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
SPS Immigration,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
SSA Global,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Saffas Abroad,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Sovereign Trust,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Risk Management,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Risk Management Services,6,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Tax Shop South Africa,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
TaxCorp,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
VisaCorp,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Visalogix,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
**VisaHQ South Africa**,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AltCoinTrader Tax,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apex Tax Solutions:,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
Baker Tilly South Africa,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
Black Pen Recruitment,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
Cape Town Immigration,5,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0
Crypto Tax,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Expat Tax South Africa:,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
FNB,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
FNB (First National Bank),5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Galbraith | Rushby,5,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0
Global Visa Solutions,5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0
Immigration.sa,5,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0
Intergate Emigration,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Newland Chase:,5,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0
Norton Rose Fulbright South Africa:,5,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0
Passport South Africa,5,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
SA Immigration,5,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
Schindlers Attorneys,5,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0
Tax Debt Advisors,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TaxShop,5,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0
TaxWise,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
The Visa Company,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
**Pathfinder Immigration:**,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
ATAX,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
AltCoinTrader,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Capitec Bank,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Debt Rescue,4,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
Discovery,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
Exceed Tax and Advisory Services,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Expat Tax,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
Expatriate Solutions,4,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
Expatriate Tax Consulting,4,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
First National Bank (FNB),4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Fragomen South Africa,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Immigration Direct South Africa,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
LabourNet:,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Le Roux Attorneys Inc:,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Ninety One,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
Permits SA,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Pro Tax,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
SBN Immigration:,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
Saffery Trust South Africa,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Sage,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SarsTax,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Sygnia:,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Tax Consulting South Africa (TCSA),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Rescue,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
TaxAssist,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
Visa Express,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Visa First,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa First South Africa:,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
**Old Mutual Wealth**,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
A Tax Practitioner,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
AF Immigration,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Apex Tax Consultants,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Bidvest Bank,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Brenthurst Wealth Management:,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Cape Town Visa,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Cashkows,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Company Partners,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
CryptoTaxAfrica,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
E&Y South Africa,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Exchange4Free,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Grant Thornton,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
IMCOSA,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration Direct SA,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Immigration Nation,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Luno,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mazars in South Africa,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Mercer South Africa:,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Migrate Me,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Octagon Financial Solutions,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
SAAAC:,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SARS Tax Practitioners,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
STC Immigration Consultants,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Saffron Financial,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Sars eFiling,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
South Africa Immigration,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
South Africa Visa,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovereign Trust SA:,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Status Immigration,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Tax Debt Help,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
TaxLab,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TaxLawHome,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
The Immigration Company,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Travel Visa Company,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Travel Visa Pro,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Work Visa SA,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Workpermit.com,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
**SEESA:**,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
**Visas for South Africa**,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
**Workpermit.com South Africa**,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10X Investments:,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABSA Bank,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AG Immigration,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Accenture South Africa,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Adcorp,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
African Impact:,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Akeso Clinics:,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Apostil.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditproof,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Avenant Attorneys,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Baker McKenzie South Africa,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Brenthurst Wealth:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Business Partners Limited,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CRS Technologies,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cape Town Immigration Consultants,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Capital Migrations,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Carrick Wealth,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Caveat Legal,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Citadel,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Citadel Wealth Management:,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Coronation,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Crypto Tax South Africa,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptotax,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
De Beer Attorneys,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Discovery Bank,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
EasyTax,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Exfin:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Expatriate Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Expatriate Tax Solutions,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FX Capital,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Glacier by Sanlam,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Global Visa Services,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GoEco:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HJW Attorneys:,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Hlatswayo & Associates:,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IMCOSA Immigration,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Immigration Advisors,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Immigration Direct,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Immigration Experts:,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration Law South Africa,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Immigration Lawyers South Africa (ILSA):,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Incompass Financial Solutions,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Incompass Forex,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Incompass Tax,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Investec Wealth & Investment:,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KISCH IP:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KPMG South Africa Immigration Services (,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
MDA Attorneys,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Maitland,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Manpower South Africa,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKinsey & Company South Africa,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Nedbank Private Wealth:,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Newtons:,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Passport People,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Probity Advisory,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Projects Abroad:,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Remata Gateway,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Remedio Tax,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Resolve Immigration,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SA Crypto Tax,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SA Visa Experts,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SARS Consulting,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SARS Debt Assist,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SARS Liaison,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SARS Tax Solutions,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SIA,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SIA Legal,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SPS International:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SSA Consultants:,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
STBB,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SVA Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SVA Tax Consultants,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Saffas Immigration:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Saffery Trust,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sars Crypto Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sincere Immigration Services:,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
