brand,total,top1_count,top1_share,top3_count,top3_share,top5_count,top5_share,top10_count,top10_share,mean_rank,rank_std,best_rank,worst_rank,median_rank,predominant_rank
Intergate Immigration,444,252,0.5676,371,0.8356,420,0.9459,444,1.0,2.1149,1.7353,1,10,1,1
Immigration South Africa,377,15,0.0398,214,0.5676,325,0.8621,377,1.0,3.5305,1.8339,1,10,3,2
Tax Consulting South Africa,331,234,0.7069,280,0.8459,308,0.9305,331,1.0,1.994,2.0492,1,10,1,1
Black Pen Immigration,299,75,0.2508,217,0.7258,272,0.9097,299,1.0,2.8796,1.9846,1,10,2,2
XpatWeb,292,37,0.1267,159,0.5445,234,0.8014,292,1.0,3.8733,2.1977,1,10,3,3
IBN Immigration Solutions,283,10,0.0353,158,0.5583,256,0.9046,283,1.0,3.5936,1.6131,1,10,3,3
PWC South Africa,262,59,0.2252,119,0.4542,191,0.729,262,1.0,4.0382,2.4893,1,10,4,1
Sable International,246,15,0.061,140,0.5691,216,0.878,246,1.0,3.6301,1.8646,1,10,3,3
KPMG South Africa,244,8,0.0328,54,0.2213,148,0.6066,242,0.9918,5.2951,2.3788,1,11,5,4
Deloitte South Africa,242,6,0.0248,91,0.376,164,0.6777,241,0.9959,4.6364,2.3827,1,12,4,2
BDO South Africa,237,6,0.0253,33,0.1392,134,0.5654,236,0.9958,5.5105,1.976,1,12,5,5
Mazars South Africa,215,7,0.0326,70,0.3256,111,0.5163,215,1.0,5.1581,2.5028,1,10,5,2
New World Immigration,188,8,0.0426,72,0.383,156,0.8298,188,1.0,4.2979,2.1129,1,10,4,4
Grant Thornton South Africa,146,0,0.0,9,0.0616,37,0.2534,146,1.0,6.7671,1.8802,2,10,7,7
VFS Global,126,66,0.5238,93,0.7381,105,0.8333,126,1.0,2.873,2.766,1,10,1,1
Global Migration SA,121,5,0.0413,44,0.3636,95,0.7851,121,1.0,4.314,1.9201,1,10,4,5
Le Roux Attorneys,111,0,0.0,12,0.1081,45,0.4054,111,1.0,6.0991,2.0133,2,10,6,5
EY South Africa,108,0,0.0,33,0.3056,69,0.6389,106,0.9815,5.2963,2.4954,3,13,4,3
TaxTim,106,25,0.2358,72,0.6792,84,0.7925,106,1.0,3.5,2.7135,1,10,2,2
SA Migration International,92,2,0.0217,33,0.3587,65,0.7065,92,1.0,4.6739,2.2942,1,10,4,4
ENSafrica,78,20,0.2564,30,0.3846,40,0.5128,78,1.0,4.9231,3.1246,1,10,5,1
Move Up,78,10,0.1282,30,0.3846,48,0.6154,78,1.0,5.0641,2.9757,1,10,4,3
[Intergate,77,50,0.6494,76,0.987,77,1.0,77,1.0,1.4286,0.6918,1,5,1,1
[Tax Consulting South,75,42,0.56,57,0.76,71,0.9467,75,1.0,2.2667,1.6759,1,6,1,1
Tax Consulting SA,71,49,0.6901,58,0.8169,64,0.9014,71,1.0,2.0423,1.8872,1,7,1,1
Immigration Solutions,69,0,0.0,6,0.087,15,0.2174,69,1.0,7.5507,2.3869,2,10,8,10
Eisenberg & Associates,68,5,0.0735,8,0.1176,16,0.2353,68,1.0,6.4412,2.3538,1,10,7,6
SNG Grant Thornton (,63,0,0.0,8,0.127,11,0.1746,63,1.0,7.4762,2.3493,2,10,8,8
Intergate Visalink,60,28,0.4667,57,0.95,60,1.0,60,1.0,1.7833,0.9146,1,5,2,1
[New World,59,0,0.0,48,0.8136,59,1.0,59,1.0,3.1864,0.5362,2,5,3,3
[Tax & Legal,55,0,0.0,14,0.2545,29,0.5273,55,1.0,5.6909,2.5361,2,10,5,3
Global Migration,54,0,0.0,0,0.0,4,0.0741,54,1.0,7.8704,1.7,4,10,8,7
Tax Shop,53,0,0.0,27,0.5094,39,0.7358,53,1.0,4.3774,2.1996,2,10,3,3
VisaPro,52,19,0.3654,30,0.5769,36,0.6923,52,1.0,3.6923,2.8658,1,10,2,1
[Tax Consulting,49,0,0.0,27,0.551,42,0.8571,49,1.0,3.7959,2.0994,2,10,3,2
PKF South Africa,47,0,0.0,5,0.1064,22,0.4681,47,1.0,6.1489,2.269,2,10,6,4
Visa Box,46,13,0.2826,33,0.7174,45,0.9783,46,1.0,2.7391,1.4362,1,6,3,1
Relocation Africa:,45,0,0.0,5,0.1111,19,0.4222,45,1.0,6.1333,1.9277,3,10,6,7
Intergate Immigration Service,42,3,0.0714,15,0.3571,30,0.7143,42,1.0,4.3571,1.9619,1,9,4,5
[Visa,41,4,0.0976,9,0.2195,38,0.9268,41,1.0,4.3415,1.632,1,9,5,5
Webber Wentzel,40,1,0.025,18,0.45,25,0.625,40,1.0,4.75,2.6716,1,10,4,2
Fragomen,38,13,0.3421,28,0.7368,35,0.9211,38,1.0,2.7895,2.0667,1,10,2,1
Visa Solutions,38,1,0.0263,11,0.2895,23,0.6053,38,1.0,5.1053,2.4255,1,10,5,5
Intergate Immigration Services,37,4,0.1081,22,0.5946,32,0.8649,37,1.0,3.4865,2.0218,1,9,3,2
SA Migration Services,37,0,0.0,14,0.3784,31,0.8378,37,1.0,3.973,1.4234,2,7,4,4
Visa and Immigration Services,36,18,0.5,30,0.8333,31,0.8611,36,1.0,2.6389,2.5836,1,10,1,1
Mazars,35,4,0.1143,22,0.6286,32,0.9143,35,1.0,3.3429,1.7718,1,9,3,2
Visa Logistics,34,20,0.5882,27,0.7941,33,0.9706,34,1.0,2.0882,1.7552,1,9,1,1
[Immigration South,34,0,0.0,4,0.1176,31,0.9118,34,1.0,4.3529,0.8707,3,7,4,4
Expatriate Law,32,0,0.0,0,0.0,8,0.25,32,1.0,7.3125,2.0377,4,10,7,10
[VisaHQ South,32,2,0.0625,2,0.0625,31,0.9688,32,1.0,4.7188,1.2557,1,9,5,5
Tax Debt Solutions,31,6,0.1935,24,0.7742,29,0.9355,31,1.0,2.9677,2.0711,1,10,2,2
Visa Solutions South Africa,31,0,0.0,17,0.5484,28,0.9032,31,1.0,3.9355,1.9499,2,10,3,3
RSM South Africa,29,0,0.0,2,0.069,3,0.1034,29,1.0,8.3448,1.8248,3,10,9,9
Bowmans,28,1,0.0357,14,0.5,17,0.6071,28,1.0,4.7857,2.664,1,10,3,3
Breytenbachs Immigration Consultants:,28,9,0.3214,19,0.6786,27,0.9643,28,1.0,2.8214,1.6915,1,8,3,1
Nova Immigration,28,0,0.0,3,0.1071,27,0.9643,28,1.0,4.2143,0.6738,3,6,4,4
Migrate to South Africa,27,0,0.0,0,0.0,6,0.2222,27,1.0,7.3333,1.866,4,10,8,8
Old Mutual,27,7,0.2593,21,0.7778,23,0.8519,27,1.0,2.7407,1.8777,1,7,2,2
**Nexia SAB&T**,26,0,0.0,1,0.0385,1,0.0385,26,1.0,8.1923,1.8191,2,10,9,9
SA Migration,26,0,0.0,4,0.1538,12,0.4615,26,1.0,6.0769,2.4007,2,10,6,5
Cliffe Dekker Hofmeyr,24,0,0.0,7,0.2917,19,0.7917,24,1.0,4.625,2.0374,2,10,4,4
Ernst & Young South Africa,24,0,0.0,1,0.0417,10,0.4167,24,1.0,6.0417,2.0099,3,10,6,4
Sanlam,24,7,0.2917,18,0.75,21,0.875,24,1.0,2.9583,2.3714,1,10,2,1
South African Immigration Services,24,0,0.0,9,0.375,17,0.7083,24,1.0,4.3333,1.6246,2,8,4,3
Work Visa South Africa,24,3,0.125,8,0.3333,12,0.5,24,1.0,5.2917,2.8647,1,10,5,1
