brand,rank,url,domain_full,domain_token,match_strict,Role,Model,LLM Provider
Mazars,1,www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,2,www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,3,www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa,4,www.home.kpmg/za,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Deloitte South Africa,5,www2.deloitte.com/za,deloitte.com,deloitte,True,,claude-3-5-sonnet-20241022,claude
EY South Africa,6,www.ey.com/en_za,ey.com,ey,True,,claude-3-5-sonnet-20241022,claude
BDO South Africa,7,www.bdo.co.za,bdo.co.za,bdo,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,8,www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
PKF South Africa,9,www.pkf.co.za,pkf.co.za,pkf,True,,claude-3-5-sonnet-20241022,claude
RSM South Africa,10,www.rsm.global/southafrica,rsm.global,rsm,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,1,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,3,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa (,4,https://home.kpmg/za/en/home.html,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Deloitte South Africa,6,https://www2.deloitte.com/za/en.html,deloitte.com,deloitte,True,,claude-3-5-sonnet-20241022,claude
XpatWeb Tax Services,7,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,8,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
Exceed Tax and Advisory Services,1,https://exceed.co.za,exceed.co.za,exceed,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,2,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
XpatWeb,3,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
Intergate Immigration,4,https://www.intergate-immigration.com,intergate-immigration.com,intergate-immigration,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,5,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa (,6,https://home.kpmg/za/en/home.html,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Financial Emigration,8,https://financialemigration.co.za,financialemigration.co.za,financialemigration,True,,claude-3-5-sonnet-20241022,claude
IBN Immigration Solutions,9,https://www.ibn.co.za,ibn.co.za,ibn,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,10,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
PwC South Africa,1,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa (,2,https://home.kpmg/za/en/home.html,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Deloitte South Africa,3,https://www2.deloitte.com/za/en.html,deloitte.com,deloitte,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,5,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Solutions,6,https://www.expatriatetax.co.za,expatriatetax.co.za,expatriatetax,True,,claude-3-5-sonnet-20241022,claude
PKF South Africa,7,https://www.pkf.co.za,pkf.co.za,pkf,True,,claude-3-5-sonnet-20241022,claude
BDO South Africa,8,https://www.bdo.co.za,bdo.co.za,bdo,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,9,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,10,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,1,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
Sable International,3,https://www.sableinternational.com/tax,sableinternational.com,sableinternational,True,,claude-3-5-sonnet-20241022,claude
XpatWeb,4,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,5,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,6,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
Intergate Immigration,7,https://www.intergate-immigration.com,intergate-immigration.com,intergate-immigration,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa (,8,https://home.kpmg/za/en/home.html,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Financial Emigration,9,https://financialemigration.co.za,financialemigration.co.za,financialemigration,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,2,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
XPatWeb,3,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
Financial Emigration,4,https://financialemigration.co.za,financialemigration.co.za,financialemigration,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,5,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
Intergate Immigration,6,https://www.intergate-immigration.com,intergate-immigration.com,intergate-immigration,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,7,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
Sable International,8,https://www.sableinternational.com/tax,sableinternational.com,sableinternational,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,10,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,1,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,2,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
RSM South Africa,3,https://www.rsm.global/southafrica,rsm.global,rsm,True,,claude-3-5-sonnet-20241022,claude
PKF South Africa,4,https://www.pkf.co.za,pkf.co.za,pkf,True,,claude-3-5-sonnet-20241022,claude
Tax Shop,6,https://taxshop.co.za,taxshop.co.za,taxshop,True,,claude-3-5-sonnet-20241022,claude
Integritax,7,https://integritax.co.za,integritax.co.za,integritax,True,,claude-3-5-sonnet-20241022,claude
BDO South Africa,8,https://www.bdo.co.za,bdo.co.za,bdo,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,9,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
EY South Africa,10,https://www.ey.com/en_za,ey.com,ey,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,1,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
PWC South Africa,3,https://www.pwc.co.za,pwc.co.za,pwc,True,,claude-3-5-sonnet-20241022,claude
KPMG South Africa (,4,https://home.kpmg/za/en/home.html,kpmg,kpmg,True,,claude-3-5-sonnet-20241022,claude
Deloitte South Africa,6,https://www2.deloitte.com/za/en.html,deloitte.com,deloitte,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,7,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
XPatWeb,8,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,9,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
BDO South Africa,10,https://www.bdo.co.za,bdo.co.za,bdo,True,,claude-3-5-sonnet-20241022,claude
Tax Consulting South Africa,1,https://www.taxconsulting.co.za,taxconsulting.co.za,taxconsulting,True,,claude-3-5-sonnet-20241022,claude
Integritax,3,https://integritax.co.za,integritax.co.za,integritax,True,,claude-3-5-sonnet-20241022,claude
PKF South Africa,4,https://www.pkf.co.za,pkf.co.za,pkf,True,,claude-3-5-sonnet-20241022,claude
Grant Thornton South Africa,5,https://www.grantthornton.co.za,grantthornton.co.za,grantthornton,True,,claude-3-5-sonnet-20241022,claude
BDO South Africa,6,https://www.bdo.co.za,bdo.co.za,bdo,True,,claude-3-5-sonnet-20241022,claude
Mazars South Africa,7,https://www.mazars.co.za,mazars.co.za,mazars,True,,claude-3-5-sonnet-20241022,claude
XpatWeb,8,https://www.xpatweb.com,xpatweb.com,xpatweb,True,,claude-3-5-sonnet-20241022,claude
