brand,rank,url,domain_full,domain_token,match_strict,Role,Model,LLM Provider
Expatriate Tax Services,2,https://www.expattaxservices.co.za,expattaxservices.co.za,expattaxservices,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,5,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,7,https://www.expattaxsa.co.za,expattaxsa.co.za,expattaxsa,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,4,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,2,https://www.expattaxservices.co.za,expattaxservices.co.za,expattaxservices,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,10,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,1,https://www.expattaxservices.co.za,expattaxservices.co.za,expattaxservices,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,9,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Solutions,5,https://www.expattaxsolutions.co.za,expattaxsolutions.co.za,expattaxsolutions,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,2,https://www.expattaxsa.co.za,expattaxsa.co.za,expattaxsa,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,5,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,2,https://www.expattax.co.za,expattax.co.za,expattax,False,,claude-3-5-sonnet-20241022,claude
Sovereign Trust SA,7,https://www.sovereigngroup.com/south-africa,sovereigngroup.com,sovereigngroup,False,,claude-3-5-sonnet-20241022,claude
Ernst & Young South Africa,4,https://www.ey.com/en_za,ey.com,ey,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,5,https://expatriatetaxes.co.za,expatriatetaxes.co.za,expatriatetaxes,False,,claude-3-5-sonnet-20241022,claude
NMG Benefits,8,www.nmg-group.com,nmg-group.com,nmg-group,False,,claude-3-5-sonnet-20241022,claude
Expatriate Tax Services,2,https://www.expattax.co.za,expattax.co.za,expattax,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator,2,https://cryptotaxcalculator.io/za/,io,io,False,,claude-3-5-sonnet-20241022,claude
Koinly,3,https://koinly.io/za/,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator,2,https://cryptotaxcalculator.io/za/,io,io,False,,claude-3-5-sonnet-20241022,claude
Xago,8,https://xago.io/,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator (,9,https://cryptotaxcalculator.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Koinly South Africa (,10,https://koinly.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator,9,www.cryptotaxcalculator.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Koinly South Africa,10,www.koinly.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator,2,https://cryptotaxcalculator.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Koinly South Africa,7,https://koinly.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator (,6,https://cryptotaxcalculator.io/za,io,io,False,,claude-3-5-sonnet-20241022,claude
Koinly,1,https://koinly.io/za/,io,io,False,,claude-3-5-sonnet-20241022,claude
Crypto Tax Calculator,4,https://cryptotaxcalculator.io/za/,io,io,False,,claude-3-5-sonnet-20241022,claude
