domain,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
za](https,475,59,51,69,62,67,47,41,25,26,28,0,0,0,0,0
intergate-immigration.com,448,235,77,48,28,29,13,7,7,4,0,0,0,0,0,0
https,418,65,62,58,56,58,28,30,26,17,18,0,0,0,0,0
com](https,386,61,71,53,52,46,15,18,29,20,21,0,0,0,0,0
africa](https,335,65,25,40,61,65,18,19,20,8,14,0,0,0,0,0
taxconsulting.co.za,291,202,34,15,7,14,5,5,3,2,4,0,0,0,0,0
immigrationsouthafrica.org,275,18,120,44,42,28,12,7,3,1,0,0,0,0,0,0
xpatweb.com,247,31,28,70,33,30,20,8,15,8,4,0,0,0,0,0
deloitte.com,235,6,50,31,40,32,25,15,17,8,10,0,1,0,0,0
za](http,215,45,30,22,21,25,18,14,15,11,14,0,0,0,0,0
ibn.co.za,201,8,47,62,38,21,12,5,4,2,2,0,0,0,0,0
pwc.co.za,201,47,17,23,33,23,21,15,6,10,6,0,0,0,0,0
kpmg,200,5,19,19,36,32,21,18,19,18,11,2,0,0,0,0
sableinternational.com,193,12,47,53,33,28,7,6,4,2,1,0,0,0,0,0
mazars.co.za,189,12,30,23,23,17,33,19,15,10,7,0,0,0,0,0
bdo.co.za,174,6,5,19,22,52,19,25,15,4,6,0,1,0,0,0
immigration](https,142,50,25,49,9,4,1,3,1,0,0,0,0,0,0,0
ey.com,140,0,0,35,38,12,12,11,9,10,11,0,1,1,0,0
blackpen-immigration.com,127,9,36,25,23,8,4,7,4,9,2,0,0,0,0,0
vfsglobal.com,109,49,17,10,3,9,0,3,4,10,4,0,0,0,0,0
blackpen.co.za,107,49,40,13,5,0,0,0,0,0,0,0,0,0,0,0
`https,105,21,21,20,20,19,4,0,0,0,0,0,0,0,0,0
grantthornton.co.za,96,1,2,10,6,14,15,15,15,10,8,0,0,0,0,0
moveup.co.za,82,7,12,14,11,12,2,5,7,5,7,0,0,0,0,0
taxtim.com,82,20,19,14,7,4,3,5,2,5,3,0,0,0,0,0
com](http,81,2,6,11,13,11,8,10,6,9,5,0,0,0,0,0
lerouxattorneys.co.za,75,0,4,11,9,12,11,10,8,6,4,0,0,0,0,0
taxshop.co.za,74,1,12,26,13,4,3,5,6,3,1,0,0,0,0,0
nwivisas.com,70,6,8,26,10,6,2,2,2,6,2,0,0,0,0,0
solutions](https,67,0,2,2,19,27,7,1,5,2,2,0,0,0,0,0
ensafrica.com,63,20,4,2,3,6,5,9,4,7,3,0,0,0,0,0
samigration.com,63,1,9,15,15,12,7,2,1,0,1,0,0,0,0,0
immigrationsolutions.co.za,56,0,3,2,2,3,5,7,9,7,18,0,0,0,0,0
visasolutions.co.za,55,0,11,13,7,9,5,3,2,2,3,0,0,0,0,0
globalmigration.co.za,52,0,2,3,5,7,7,13,4,5,6,0,0,0,0,0
visabox.co.za,49,19,7,9,8,5,1,0,0,0,0,0,0,0,0,0
pkf.co.za,45,0,1,2,12,9,6,3,6,4,2,0,0,0,0,0
kpmg.com,44,3,2,6,15,9,3,2,2,2,0,0,0,0,0,0
eisenberg.co.za,43,1,1,1,2,3,10,7,9,5,4,0,0,0,0,0
sami.co.za,40,1,2,3,2,4,6,7,6,4,5,0,0,0,0,0
globalimsa.com,39,1,4,5,8,10,5,5,0,0,1,0,0,0,0,0
services](https,39,0,9,7,3,5,3,5,5,1,1,0,0,0,0,0
org.za,34,4,3,4,4,6,2,4,4,3,0,0,0,0,0,0
taxdebtsolutions.co.za,33,6,11,8,3,3,0,0,0,1,1,0,0,0,0,0
